review,rating,date,bank,source,app_version,thumbs_up,scrape_date
I get it fast,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
I liked this app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
ممتاز,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
just nice,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,2,6/7/2025
ፒን ቁጥር ካስገባሁ በኋላ የሚመጣው ስከሪን ተቀማጭ ባላነሴን አያሳይም!,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Amazing for saving time,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,2,6/7/2025
"The best mobile banking in the world. I love it, thank you!!!! But try to have more servers, sometimes it is busy.",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,4,6/7/2025
Fast,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
New Technology,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
bast mobile banking in Ethiopia,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
its so good app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Nasri.huseen,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
App is not working,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Very good for transaction,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Baayyee gaariidha,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
ጥሩ ነው በዚሁ ቀጥሉበት።,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
This good mobile banking app ever used but it says this device is rooted. You cannot run this app on this device,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
try to update it,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
"Fantastic, It has supersonic speed.",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Beast,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Nice &simple app,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Such a great app😘,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"It is a service that is not expected from such a large institution. I saw that your work is very complicated. The user does not understand well your application. In general, you have many problems. This application is not convenient for the end user. For instance I can't access my account from abroad what I depsited amount and transfer from my account to any any one .It is a shame.",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,105,6/7/2025
20 year,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"Cannot access with no reason,",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Abdullaxif sherashid,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
use full,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"I like the app, easy to use, if possible please add some more features like calculator. Simply add one more icon with calculator function, so the users can easily do some calculation without closing the app.",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,5,6/7/2025
It was good because of its wide area usage possibility but has so many problem with transaction daily information and availability duration,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Wow👌,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
"It's not secure enough,you don't have biometric option",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
@12ahme afar,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
-The app only shows a limited record amount of transaction (20) - it crashes again and again,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
I need money,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
HAYlDER A/ZiABAA,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
That was good app😍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"Fast and easy to use, simple app at all!👌",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Best application ever,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It is an amazing App I like its features,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"Please bring back the reason of transfer/reference format on the receipt. Pls pls, for those of us who have multiple transactions,it's very important to trace the receipts by looking at the references.",3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Commercial Date,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
"No have all monthly statement,",2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
I love this app it is fast and suitable for use.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Wow Ethio Tele 🤯🤣🤣🤣🤣,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
I find this app user friendly and reliable.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,2,6/7/2025
"It's good ,but in the history list, it doesn't show a reason for transactions.",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
"This app is not set up for diaspora users. It works fine until you needed a new verification code, or you change your cell phone and try to use the app on the new phone. You will not be able to get the verification key that it is asking for just for changing your phone. It requires you to go the nearest branch to get the verification key. For me this will be travelling to Ethiopia from USA just to get this code. Even my sister - a joint aact holder & has my Power of Attorney, could not help me.",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,11,6/7/2025
Which is very important!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
please send me your details please,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Good job,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
No one like cbe,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Its good for digital marketing,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Superexcellent,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
No word,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
too nice app my time savaing,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
This app is so strong💪,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Useless,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
ይህ አፕሊኬሽን ብዙ አገልግሎት እየሰጠ ይገኛል ሆኖም በየጊዜው አዳዲስ አሰራሮችን ከማደስ አንፃር ሲታይ ይቀረዋል አሁን ላይ ሂሳብ አያሳየኝም ምን ላድርግ,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
100%,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
One of the best banking apps.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Unexpected apps becouse this is bad unfortunately error,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
One of the fastest app ever used.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
My best bank,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Your app is so amazing,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Very good 👍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
በጣምጠሩ,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Discount service fee,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
My choice bank Comertial bank of Ethiopia,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
This app is very active and past,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
CBE is a great way to use it.,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
The app very nice but it stuck by now. What is the reason?,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"It's reliable, fast,and easy to use",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
The app is okay!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
There is problem on application to transfer money and adjust please.,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
It make my life easy my time my energey,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Am happy for the service,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Good application commercial bank of Ethiopia,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
It is my best apps ever. Thank you CBE!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Its very good application specialy with 4G Network Conection. However The Service Payment is Expensive. Do It Please Justified With Our Economy Label,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
App is not working for days now.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Tnx for the team,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Interesting application any updates should have to included timely,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Fantastic app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"Excellent appn that is easy to use it, the bank we trust and rely CBE. Thank you Abdi Farah",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Bank,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
takies,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Maashoo.abduuroo,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Double PIN request is extremely worthful. Keep working on security. I rate *****.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
IAM satisfied for the application.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Exlence service,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"The increase in the amount of the Daily Exchange should be increased to 6,000,000 ETB instead of 600,000 ETB.",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
aags hshja,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
It's the best appks,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Fast and Easy to Use. By far the best mobile banking application in 🇪🇹,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,2,6/7/2025
Excllent app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It's time consuming up for using electronic money every were,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Very special app,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
It's esay and very fast to use and sync.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
This app sometimes 🛑,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Verification code website,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
I loved it,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
The best way..i like it#1👍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
I like it but can bring for us to link with PayPal please,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
please add the fingerprint security. All most the app is very good app.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Best appk,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
I have been using this app for log time since It come to existence and its its marvelous app and usually enjoy its function and simplicity. I know pay everything with this app and make my transaction all by this app. Great Job by CBE.,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,2,6/7/2025
It's good but it must add some especial item like statement or transaction list place,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
This best app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
fast and easy,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
trust to use,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It the bast app in mobile money to trasfer to receive payment use it !,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It is an interesting app,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
not working well,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
oromosikorkreshn,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Its eassy to use,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"It is very, for more experience please upgrade it",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
failed to give receipt or confirm payment,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
The best,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"Faster and convertible,,,,,CBE App👍👍",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
አብዛውን ጊዜ ያስቸግራል,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Remzi,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Best app 🤙,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Sulxan nuree muhammad godinaa harargee lixaa anaa buqa dhintuu zone,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Yes we can,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
At g CA,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
𝙼𝚒𝚔𝚒,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Abdurahman Abdalkarim,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Has not show recent exact information. Some transactions are included and others excluded. Bad experiance. Always I got in truble by thinking the correct balance.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Taju Mohammed Belda,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Very bad application not working properly every time,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
It's safe ever,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Jira yesus,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"It's ask me update then i was going to my branch they updated my mobile banking but still not working!""",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Good 👍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Nice mobile banking,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It ask KYC for the 3rd time in one moths what wrong with your system. If this thing keep going most of your customers start using other banks including My family and friends.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
09mikaa.il,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
It's true and is my favorite Banks,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Experience,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It is great app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
This service is qulity and very easy to use by any place any time also i could have save my time. Just i can say fantastic.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,4,6/7/2025
"How can I trust a bank that doesn't have a cyber crime reporting mechanism. I recently traveled out of the country. After a week I got a text message stating that more than 1000bir withdrawn from my account without my knowledge. When I tried to download the receipt, it doesn't even work. I only know it was transfered to a Wegagen bank account via a POS machine. Please be carefull and take a lesson from me. 😡😡😡",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,2,6/7/2025
Very nice work,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Finance manager,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Very good simple and easy app thank you very much Ethiopian commercial Bank 👍👍 🏧,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"it is good app . but i had some essue's lately, they app don't show Transaction history properly in order of date of withdrawal . You should fix that in the next Update.",3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,5,6/7/2025
It is great and fast app to transfer money,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Best up Ever.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
"Error free, user friendly best app🙏",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Mameameni,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"I really like this app as it is being updated from time to time and includes multiple payment options. In particular, giving a receipt makes it even more preferable. However, when it is refreshed, it does not show the history of credit and deposit in order and, I am of the opinion that it is better if the recent history is fixed respectively according to the transaction date in the future because there is a problem of confusion.",3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,164,6/7/2025
G ghost,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
This application is very nice mobile banking agent and various transactions can be used download and use,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Way to go!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
If there was a lesser rating I'd have given it to this app! What's with all this service charges? With the amount they're charging for everything I'm afraid we'll be paying to even look in their direction.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
I hate apps and all management of cbe,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
its ok,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
The fast and easy to use app there is nothing to deny aboutt that... but it has a serious issue on showing transaction history like if i send or receive money i ll find the transaction history after a day. When the sms message is not working at some days the issue get worse like we dont have an idea how much money we have received. I dont this this issue is hard to fix for you hope you will fix it on the next update....the app deserve 4stars tbh but i just want you to see this seriously thankyou,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,16,6/7/2025
Updet every time,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"When I enter values in the Amount and Remark fields and click the Continue button, I encounter an error. However, the transaction still deducts the specified amount. It is essential to test this error handling functionality.",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Tilahun Getachew,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
backward banking app,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
"What a trash app! Trash! Trash! Trash! Whenever you want to use the app after once you uninstall it, or receive it from someone else, it will ask you for a new verification. Again, after you clear the cache and data, you will be required to ask a verification code from the nearby bank physically too! What a shame! Never use this app! Your account pass code is unsecure in this app. STOP using this app! I Do!",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,17,6/7/2025
Satisfactory,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Not working out of Ethiopia this week mine is,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Easy and safe to use,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
I was looking for this application and finally succeeded. It's wonderful application to receive and send money with the speed of light. Thank you so much CBE. I wish you all CBE staffs happy new year. May this year be the year of peace and prosperity for all and everyone. HAPPY ETHIOPIAN NEW YEAR!!! #2017 E.C.🐦,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,5,6/7/2025
this app is very good app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
The app only shows 25 transaction. The most frustrating it ever. Other banks gives you months of transactions ans statement. What a joke,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
"it's not best like abyssinya mobile bank. This not show the transaction and didn't get notification , SMS text.",3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Easy to use and private.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"please fix the recent transaction page, it's not showing recent transactions",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Wow 👌 great 👍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Why can't we transfer funds directly to another's person telebirr wallet,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
this app is so smart,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Wowe,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Our best app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
It is a good app overall but you need to improve some features like the recent transactions section which doesn't accurately show recent transactions.,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,2,6/7/2025
"It need some listed improvements below. 1. Try to desplay at lst one month transaction 2. Try to solve weekend transaction display error 3. ""Failed"" message after few processing",3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Very easy and interesting,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
It's the worst! I just transfer from my cbe account in to my tele birr account for urgent case but unfortunately it holds. And there customer service workers told me it will be returned in to my cbe account after 3 or 5 working days if its not credited in to my telebirr account. How's that working? This bank is a pioneer in from the country. It's really annoying this happens for second time. Please amend your network services. Am totally annoyed by cbe.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,13,6/7/2025
🄾7🄰.,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
I loved digital bankink(Internet banking of CBE),5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Ilike it,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Good application to use especially it helps me while I buy and sell goods. Thanks,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
It is very friendly and easy to use.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Transaction problems 😔,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
User friendly application.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
vgood,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
"I have never such a disgusting app in my life , i swear it doesn't even work properly",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
Wow app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Obsaa.Abdallaa,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Very good app but why all the theme is just Islamic?,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It donsnt show the new amount after there is a deposit,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
i use this application many time it works perfectly 10Q,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"The CBE mobile banking app is a time-saver, but it needs several improvements, like adding fingerprint authentication. It's risky when people see me entering my PIN. Additionally, the fees are unreasonable. You could learn from Tele Birr, which adjusts fees based on the transaction amount. However, the CBEMB app charges a flat 10 birr fee for amounts between 5 and 1000 birr, which I think is unfair.",2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,110,6/7/2025
Nice to meet you my bank,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
Fast service and reliable it works from everywhere across the globe love it,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Very convenient and easy to use,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
I used to mobile bsnking,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It is very comfortable!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It is the best app I like it,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Good at all,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
"The app doesn't have 1. mini statement service In my opinion, I don't have to go to cbe branch to get mini statements and transactions I have done and pay for it.why? 2. Recent transaction The app doesn't store numerous or enough recent transactions, even it doesn't store what stored properly sometimes.",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,12,6/7/2025
Bulchaa ibsa,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
It's Great App 💪🏼wow which i like it z most👌🏼 but please add biometric authentication,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
I can't describe enough how helpful it was. It's best version than ever mobile banking services.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
SUBSCRAIB,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
"Thank you, everyone",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,1,6/7/2025
Mabratu,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
ሀውልቱ ታረቀኝ,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.4,0,6/7/2025
