review,rating,date,bank,source,app_version,thumbs_up,scrape_date
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,13,6/7/2025
mortuary app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it is smart app but it has stoped after some period of time on my device with out any reason .,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
amazing app I am used this app for one year,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
good app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
i love it 😍😘,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
It makes life easy!👌,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
its not fast,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it is sooo good,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
excellent,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Fantastic,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
accessible to using,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
I like it,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
why you change default network?,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
very nice 👍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
nice fast app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
how to I get my money,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"Very bad, can't even load they need to improve their services.",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
"Very good app, but please make it reliable . it crashes sometimes .",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
very busy I don't know why... I prefer 889,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
hojii bonsaadha,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
user-friendly apps.because this app is easy.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
Awosome!!!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
"Very good app,",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,4.3.2,1,6/7/2025
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
I hate this app 😒,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
trustful,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
I like,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
update issue,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
its not working over safari network,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
oldie,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it doesn't work,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"This app is good, and we are using it well",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
very nice 👌 app for android phone,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Yes Yes,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
በጣም ከርፋፋ,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
easy to use helpful in my life,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
good 👍,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
the best mobile banking app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"this app is very useful app,it saves time,and it is secure",4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
it's a good application 👍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
poor service,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
amazing,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it is reliable and easy to use.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
the most annoying mobile banking app I've ever seen,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Cbe mobile banking,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"i can't make Screenshout in this app, please made modification",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Best app I loved it,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
nice app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Amazing applicatiom sometimes doesnt work!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
well satisfied with this beautiful app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
very good,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
best app.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
"not working,why???",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
woxe harimo ribiso,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"Good ,easy to use",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Good app,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Good job👍,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,3,6/7/2025
customer service is bad nothing is good about this bank,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
fast and simple easy to use 👌,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
The fastest transferring app I ever had its so reliable,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
it's easy and fast,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
This app don't have self activation only you have to look near cbe branch that's disgusting,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
wow best application ever,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
the pride of Ethiopian bank 🏦,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
why the app telling me to turn of developer options please fix it.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
amazing apps,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
All service of Mobile Banking,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
needs improvement,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
i miss the old one i couldn't send my mony to other bank..,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,1,6/7/2025
good but these week not oky,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
CBE mobilr bankg,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
verygood,3,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
ممتاز جدا,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
it's very low quality application,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
Very Amazing Apps,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
wow simple life,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
it's nice,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Why stacked sometimes,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
okay 👍 but sometimes busy,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.0.9,0,6/7/2025
the worst commercial company that fails to do even the most normal things again and and again.,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
Very good app. but disappointed by general cessation of system.,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
Good and fast,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Unreliable!,1,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Best the best fast,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
happy,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
fast and reliable,5,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,,0,6/7/2025
network errorrrrrr,2,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,0,6/7/2025
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,6/7/2025,Commercial Bank of Ethiopia,Google Play Store,5.1.0,1,6/7/2025
